provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
"Susceptible, but no efficient replication in some breeds".,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
"Susceptible, but seemingly less efficient viral replication than in Old World primates.",,hasHost,http://purl.obolibrary.org/obo/RO_0002454
"Susceptible, but infection failed in 3/9 experimentally infected animals.",,hasHost,http://purl.obolibrary.org/obo/RO_0002454
Probably susceptible.,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
Probably susceptible.***,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
Possibly susceptible.*,,hasHost,http://purl.obolibrary.org/obo/RO_0002454
Susceptible.,,hasHost,http://purl.obolibrary.org/obo/RO_0002454

